Soil Type,ID,Horizont,Top,Bottom,pH (H2O),pH (KCl),Y1,T-S,S,T,V,Humus,N,C/N,P2O5,K2O,As,Co
Districni Regosol,46,A,0,6,4.8,3.7,43,27.95,27.24,55.19,49.36,6.06,0.26,13.51,9.86,15.68,125,27.95
Districni Regosol,137,OL,0,8,,,,,,,,18.56,0.56,10.76,,,27,8.9
Districni Regosol,137,A,8,15,4.8,3.8,31.35,20.38,20.04,40.42,49.58,8.99,0.28,5.21,0.66,13.18,48.9,21.55
Districni Regosol,140,OL,0,4,,,,,,,,4.52,0.18,2.62,,,55,11.95
Districni Regosol,140,A,4,13,4.2,3.5,34.7,22.56,10.04,32.6,30.8,2.88,0.15,1.67,19.04,17.06,8.3,13.2
Districni Regosol,150,OL,0,4,,,,,,,,15.31,0.62,8.87,,,52.1,
Districni Regosol,150,A,4,15,5.15,4.3,37.28,24.23,24.84,49.07,50.62,8,0.44,4.64,17.13,62.15,45.3,6.7
Districni Regosol,152,O,0,3,,,,,,,,17.04,0.62,9.88,,,87,5.8
Districni Regosol,152,A,3,10,3.9,3.2,40,26,6.44,32.44,19.85,3.48,0.09,2.01,2.31,13.94,9,6.85
Districni Regosol,153,OL,0,15,,,,,,,,19.93,0.75,11.55,,,105,15.6
Districni Regosol,153,A,15,25,4.2,3.5,60.42,39.27,11.64,50.91,22.86,10.77,0.37,6.24,2.34,32.68,65.2,15.2
Districni Regosol,154,OL,0,10,,,,,,,,15.91,0.46,9.22,,,53,4.4
Districni Regosol,154,A,10,24,3.85,2.9,68.75,44.69,4.04,48.73,8.29,4.15,0.11,2.4,0.47,9.14,35.1,3.1
Districni Regosol,205,A,0,13,3.7,3.15,67.5,43.88,8.04,51.92,15.49,9.6,0.34,5.56,29.71,17.05,37,20.35
Districni Regosol,206,A,0,13,4.7,3.85,33.9,22.04,16.04,38.08,42.13,10.1,0.38,5.85,1.63,24.11,17.4,26.6
Districni Regosol,207,A,4,10,4.4,3.45,46.25,30.06,12.84,42.9,29.93,9.4,0.33,5.45,2.62,25.43,10.5,26.6
Districni Regosol,256,A,0,16,4.53,3.6,33.9,22.04,7.24,29.28,24.73,4.19,0.16,15.18,1.02,24.04,46.9,19.7
Districni Regosol,264,A,0,10,4.11,3.5,29.7,19.31,6.04,25.35,23.83,6.24,0.34,3.61,0.33,11.73,,
Eutricni Regosol,134,OL,0,3,,,,,,,,10.15,0.36,16.35,,,65,17.35
Eutricni Regosol,134,A,3,18,4.85,3.9,28.6,18.59,24.44,43.03,56.8,4.61,0.21,12.73,2.66,24.11,78.3,17.4
Eutricni Regosol,262,A,0,15,5.3,4.5,27.24,17.71,25.24,42.95,58.77,13.36,0.38,7.75,0,70.33,23.7,6.65
Kolovijum,159,Amo,0,40,5.75,4.85,10.75,6.99,28.84,35.83,80.5,4.58,0.19,13.98,22.61,138.17,11.9,17.6
Kolovijum,159,C1,40,60,5.9,4.8,9.25,6.01,28.04,34.05,82.34,1.64,,,14.97,85.3,9.6,18.5
Kolovijum,159,C2,60,100,4.45,3.45,31.75,20.64,10.04,30.68,32.73,2.68,,,0.58,14.71,228,16.75
Kolovijum,231,Amo,0,30,4.82,4,22.25,14.46,11.24,25.7,43.73,3.13,0.12,15.12,0,17.05,34.2,27.3
Kolovijum,231,C,30,55,5.15,4.2,13.8,8.97,12.04,21.01,57.31,1.5,,,0,5.96,23.8,24.65
Kolovijum,232,Amo,0,25,5.45,4.65,16,10.4,24.04,34.44,69.8,4.6,0.23,11.6,0,11.04,28.1,21.65
Kolovijum,232,C1,25,50,5.5,4.6,13.7,8.91,24.04,32.95,72.97,3.14,,,0,8.94,21.4,21.9
Kolovijum,232,C2,50,75,5.6,4.6,10.3,6.7,22.04,28.74,76.7,1.96,,,0,6.61,29.2,21
Kolovijum,253,A,0,5,4.6,3.6,38.6,25.09,14.44,39.53,36.53,4.81,0.18,15.49,2.96,29.88,31.8,27
Kolovijum,253,C1,5,15,4.65,3.55,37.15,24.15,14.2,34.18,41.54,3.12,,,1.5,33.14,22.6,24.55
Kolovijum,253,C2,15,20,4.65,3.6,35.25,22.91,15.17,36.12,42,1.21,,,0,17.05,28.5,21.2
Kolovijum,253,C3,20,50,4.8,3.7,30.5,19.82,13.16,29.15,45.15,0.79,,,0,15.14,22.18,27.3
Kolovijum,253,C4,50,60,4.85,3.65,24.75,16.09,15.21,31.5,48.28,0.11,,,0,7.2,24.5,26.45
Eutricni ranker,6,Amo,0,9,5.9,4.5,15.75,10.24,25.28,35.52,71.18,4.84,0.16,17.55,0.97,63.57,32,16.2
Eutricni ranker,6,AmoC,9,22,5.9,4.3,15.2,9.88,26.48,36.36,72.83,3.13,,,0.75,150.37,25.3,15.4
Eutricni ranker,24,Amo,0,30,5.8,3.75,3.2,2.08,16.48,18.56,88.79,3.95,0.22,10.41,0.08,17.08,37.8,20.7
Eutricni ranker,24,AmoC,30,45,5.95,4.4,10,6.5,24.08,30.58,78.74,0.94,,,0.07,6.27,4.9,27.1
Eutricni ranker,26,Amo,0,26,5.5,4,0,0,23.68,23.68,100,4.83,0.15,18.68,0.35,39.56,56.5,26.4
Eutricni ranker,28,Amo,0,33,5.9,4.65,24.05,15.63,25.28,40.91,61.79,2.83,0.13,12.63,0.99,33.57,74.3,18.8
Eutricni ranker,28,AmoC,33,60,5.5,4.55,23.1,15.02,32.48,47.5,68.39,0.8,,,0.81,34.05,31.6,13.3
Eutricni ranker,32,Amo,0,22,4.8,4,18.6,12.09,15.28,27.37,55.83,4.26,0.18,13.73,0.02,9.79,66.6,11.2
Eutricni ranker,32,AmoC,22,48,5.3,4.3,9.9,6.44,14.88,21.32,69.81,1.5,,,0.01,6.96,21.8,12.6
Eutricni ranker,43,Amo,0,10,6.45,5.75,8.15,5.3,35.64,40.94,87.06,7.45,0.2,21.61,1.1,13.92,133,12.8
Eutricni ranker,43,AmoC,10,30,5.58,5.05,11,7.15,18.44,25.59,72.06,4.7,,,0,4.59,39.4,13.3
Eutricni ranker,47,Amo,0,25,5.1,3.95,21,13.65,19.24,32.89,58.5,3.73,0.14,15.45,0.67,9.12,37.4,16
Eutricni ranker,47,AmoC,25,50,5.6,4.15,11.9,7.74,20.04,27.78,72.15,0.88,,,0.18,7.99,5.3,16.7
Eutricni ranker,49,Amo,0,25,6.05,4.9,9.5,6.18,32.44,38.62,84.01,3.15,0.1,18.27,2.69,14.47,68.2,19.2
Eutricni ranker,49,AmoC,25,45,5.2,4,17.35,11.28,28.44,39.72,71.61,2.27,,,2.4,10.63,35.2,17.1
Eutricni ranker,53,Amo,7,40,6.6,5.1,7.6,4.94,21.64,26.58,81.41,3.06,0.12,9.23,0,6.87,6.6,18.8
Eutricni ranker,53,AmoC,40,55,6.6,5.2,7.75,5.04,38.04,43.08,88.31,2.66,,,0.18,7.99,6.9,19.5
Eutricni ranker,54,Al,0,15,4.9,3.9,16.7,10.86,15.64,26.5,59.03,4.53,0.22,11.94,1.99,20.49,51.9,13.1
Eutricni ranker,54,Amo,15,40,5.5,4.2,15.85,10.3,18.04,28.34,63.65,2.48,,,0.97,8.74,8.8,12
Eutricni ranker,54,AmoC,40,66,5.75,4.2,10.4,6.76,18.04,24.8,72.74,1.04,,,0.27,7.62,4.7,12.4
Eutricni ranker,62,Amo,0,22,4.95,3.9,15.65,10.17,14.04,24.21,57.99,4.02,0.15,15.54,1.38,7.62,31.1,11.6
Eutricni ranker,62,AmoC,22,50,5.85,4.8,10.85,7.05,18.84,25.89,72.76,4.87,,,1.83,7.99,6.4,10.7
Eutricni ranker,103,Amo,4,37,4.7,3.8,41.4,26.91,35.24,62.15,56.7,6.45,0.22,17,0.76,31.89,18.3,12.4
Eutricni ranker,103,AmoC,37,65,6.8,5.3,5.5,3.58,14.84,18.42,80.59,0.69,,,0,16.3,8.8,18.1
Eutricni ranker,103,C,65,100,5,3.95,30.3,19.7,12.44,32.14,38.71,2.04,,,0.02,17.97,4.7,13.8
Eutricni ranker,105,Amo,0,34,4.85,4,23.1,15.02,14.84,29.86,49.71,5.73,0.23,14.45,0.16,8.99,23.6,12.6
Eutricni ranker,105,Amo,34,57,5.8,4.65,11.5,7.48,14.44,21.92,65.89,1.19,,,0,5.07,6.3,12.7
Eutricni ranker,105,AmoC1,57,73,5.9,4.7,9.65,6.27,18.44,24.71,74.62,0.7,,,0,7.02,6.1,13.2
Eutricni ranker,105,AmoC,73,80,5.9,4.55,9.35,6.08,7.24,13.32,54.36,0.27,,,0,10.99,8,14.4
Eutricni ranker,108,Amo,0,30,7.4,6.7,2.6,1.69,19.24,20.93,91.91,5.07,0.16,18.38,1.48,10.58,8.3,24.5
Eutricni ranker,108,AmoC,30,45,6.1,5.2,9.22,5.99,8.84,14.83,59.6,2.6,,,0.09,7.41,8.7,9.85
Eutricni ranker,145,OL,0,7,,,,,,,,20.77,0.71,16.97,,,149,9.65
Eutricni ranker,145,Amo,7,28,6.05,5.5,14.89,9.68,34.84,44.52,78.26,19.44,0.69,16.34,10.66,22.83,175,8.55
Eutricni ranker,204,Amo,9,26,5,4,17.65,11.47,19.24,30.71,62.65,2.35,0.12,11.36,0.4,13.59,32.5,19.2
Eutricni ranker,208,Amo,0,25,4.92,3.85,24.4,15.86,22.44,38.3,58.59,3.66,0.17,12.49,0.1,46.43,10.7,14.5
Eutricni ranker,208,AmoC,25,45,5.12,4,17.8,11.57,24.04,35.61,67.51,1.99,,,0,11.39,27.9,24.6
Eutricni ranker,209,Amo,0,19,4.91,4,21.35,13.88,14.44,28.32,50.99,3.67,0.22,9.67,0,8.6,13.5,29.35
Eutricni ranker,213,Amo,4,40,5.5,4.6,10.1,6.57,15.24,21.81,69.89,2.4,0.15,8.35,1.1,3.47,9.4,10.3
Eutricni ranker,213,AmoC,40,60,5.7,4.6,8.4,5.46,16.44,21.9,75.07,1.37,,,1.56,3.77,7.4,12
Eutricni ranker,213,CG,60,78,5.72,4.55,7.6,4.94,18.04,22.98,78.5,0.84,,,2.58,8.26,12.5,16.7
